Gender,State,Sector,CreditID,CusID,FullNames,CompanyName,BirthDate,Address,TelNo,EmailAddr,AmountGranted,EffectiveDate,Tenor,TenorType,Rate,ScheduleType,InterestRepayFreq,PrincipalRepayFreq,NatureOfBusiness,FirstTimeAccessToCredit,StartUp,MSMEAnnualTurnover,NumberOfEmployees,Age,age_group_id,ES_Rating,green_energy/energy_efficiency,TenorInDays,MaturityDate,InterestRepayStartDate,PrincipalRepayStartDate,DateAdded
Male,Kano,Health,CAM-100012,CUS-1012,Jeff Allen,Santiago-Luna,1974-07-03,"Unit 4496 Box 5120
DPO AP 69182",+1-876-757-5508x25591,ierickson@foster.com,9460820,2023-08-13,55,Yearly,15.65,Reducing Balance,Monthly,Quarterly,Production,False,False,66085033,31,5,Adult,C,True,1650,2028-02-18,2023-09-12,2023-10-12,2024-01-01
Male,Oyo,ICT,CAM-100013,CUS-1013,Leah Long,Thomas-Johnson,1969-08-19,"557 Kristie Heights
Kevinland, WA 66002",(231)219-9932x71100,kcowan@gmail.com,2000844,2023-12-21,36,Quarterly,13.98,Reducing Balance,Monthly,Quarterly,Production,False,True,37951072,82,22,Adult,C,False,1080,2026-12-05,2024-01-20,2024-02-19,2024-01-01
Female,Abuja,Trade and Commerce,CAM-100014,CUS-1014,Caitlin Mitchell,Wallace-Patel,2001-12-06,"11391 Sierra Flat Suite 195
Thomasside, LA 95785",915.446.0261x72571,corey73@yahoo.com,9817776,2023-10-09,20,Yearly,6.69,Reducing Balance,Monthly,Quarterly,Services,False,False,82735137,43,20,Youth,C,False,600,2025-05-31,2023-11-08,2023-12-08,2024-01-01
Male,Enugu,Trade and Commerce,CAM-100015,CUS-1015,James Wilson,Bailey Inc,1980-07-22,"5382 Lisa Grove Suite 537
Kimport, ND 45721",604-629-6418,danielle99@davis.com,3943609,2023-01-08,14,Yearly,12.99,Reducing Balance,Quarterly,Quarterly,Retail,False,False,49865579,7,22,Youth,A,True,420,2024-03-03,2023-02-07,2023-03-09,2024-01-01
Female,Oyo,Manufacturing,CAM-100016,CUS-1016,Alex Pollard,Lopez Ltd,1999-12-20,"5509 Nicole Union Apt. 371
Port Carlstad, MA 11903",(195)816-0920x44467,lisa57@hernandez.com,9252084,2023-04-10,28,Yearly,23.2,Reducing Balance,Monthly,Monthly,Production,True,True,42549223,1,28,Youth,B,False,840,2025-07-28,2023-05-10,2023-06-09,2024-01-01
Female,Enugu,ICT,CAM-100017,CUS-1017,Nathan Lewis,Jackson-Sanchez,1978-11-05,"376 Christy Locks
East Marcustown, NV 98024",(350)891-3841,morrisjanet@burke-mckenzie.com,1900283,2023-08-28,24,Monthly,21.16,Flat Rate,Quarterly,Quarterly,Consulting,False,False,43801105,61,24,Youth,A,False,720,2025-08-17,2023-09-27,2023-10-27,2024-01-01
Female,Abuja,Manufacturing,CAM-100018,CUS-1018,Angel Sutton,"Thomas, Howe and Sutton",1995-08-18,"4321 Murphy Heights Apt. 724
Mirandamouth, IN 16472",+1-743-698-3348x7844,lisaschmidt@hotmail.com,6427613,2023-03-28,14,Quarterly,9.32,Reducing Balance,Quarterly,Monthly,Consulting,True,True,3286188,14,3,Youth,A,True,420,2024-05-21,2023-04-27,2023-05-27,2024-01-01
Male,Enugu,Manufacturing,CAM-100019,CUS-1019,Brian Pham,Martinez Ltd,1984-01-03,"4593 Christina Passage
West Dylan, DE 82495",145.071.4680,cortezkatherine@gmail.com,1191757,2023-10-25,40,Quarterly,14.33,Reducing Balance,Monthly,Quarterly,Services,False,True,88972025,52,5,Adult,C,False,1200,2027-02-06,2023-11-24,2023-12-24,2024-01-01
Female,Kano,Manufacturing,CAM-100020,CUS-1020,Daniel Simmons,Sullivan-Sanchez,1978-03-13,"44419 David Gateway
Port Kevinfurt, KS 30994",001-739-646-0119x4802,nrichards@gmail.com,890719,2023-01-14,26,Quarterly,21.33,Flat Rate,Monthly,Quarterly,Retail,True,False,22945989,96,2,Adult,B,True,780,2025-03-04,2023-02-13,2023-03-15,2024-01-01
Male,Abuja,Agriculture,CAM-100021,CUS-1021,Jessica Pope,"Sanchez, Douglas and Wallace",2002-03-30,"796 Ayala Rapid Suite 491
New Ricardoton, ME 31703",001-079-535-2030x37494,gary76@campbell-martin.org,7354453,2023-11-30,14,Monthly,6.35,Flat Rate,Monthly,Quarterly,Retail,True,True,95075295,6,14,Adult,A,False,420,2025-01-23,2023-12-30,2024-01-29,2024-01-01
Female,Abuja,Agriculture,CAM-100022,CUS-1022,Justin Campbell,Nguyen-Johnson,1996-12-06,"40703 Melissa Springs
Lake Stevenhaven, RI 88613",676.964.6862x4313,kennethknight@yahoo.com,3837920,2023-01-02,33,Monthly,12.75,Flat Rate,Monthly,Monthly,Consulting,False,False,83779560,10,2,Adult,C,False,990,2025-09-18,2023-02-01,2023-03-03,2024-01-01
Female,Abuja,Manufacturing,CAM-100023,CUS-1023,Anthony Castillo,"Sosa, Brown and Villanueva",2001-02-28,"6083 Laura River Suite 059
Onealview, CO 34965",396.981.0591x7923,robert85@garcia.info,3796050,2023-10-20,51,Quarterly,22.04,Reducing Balance,Quarterly,Quarterly,Wholesale,False,False,83926191,71,13,Youth,C,True,1530,2027-12-28,2023-11-19,2023-12-19,2024-01-01
Female,Lagos,ICT,CAM-100024,CUS-1024,Renee Flores,Hernandez-Smith,1973-06-03,"796 Paul Coves
East Daniel, WY 63502",0020151391,adam45@smith-wilkerson.net,2618324,2023-11-21,56,Monthly,13.08,Reducing Balance,Quarterly,Quarterly,Services,False,False,92523114,90,7,Youth,B,False,1680,2028-06-27,2023-12-21,2024-01-20,2024-01-01
Female,Lagos,Trade and Commerce,CAM-100025,CUS-1025,Alexandra Gomez,Henderson Ltd,1980-11-15,"771 Copeland Gardens
Jacobtown, NV 30845",657.287.2907x01251,vanessa50@moore.com,7327299,2023-02-10,12,Quarterly,6.55,Reducing Balance,Quarterly,Quarterly,Services,True,True,20561310,98,10,Youth,A,True,360,2024-02-05,2023-03-12,2023-04-11,2024-01-01
Female,Lagos,ICT,CAM-100026,CUS-1026,Corey Smith,Williams-Ray,1981-10-05,"8748 Hampton Forest
Perezton, CA 33901",019.184.5979x608,nicholas06@haynes.org,6747794,2023-11-14,21,Monthly,15.85,Flat Rate,Monthly,Monthly,Consulting,False,False,68913257,30,13,Adult,A,True,630,2025-08-05,2023-12-14,2024-01-13,2024-01-01
Female,Kano,Health,CAM-100027,CUS-1027,Donald Harris,Nelson-Phillips,1976-10-04,"16788 Key Square
West Brandon, IA 16392",469.906.4906x50599,cortiz@cruz-ramirez.info,8417596,2023-11-12,21,Yearly,22.23,Reducing Balance,Quarterly,Monthly,Consulting,False,True,99371145,21,16,Youth,A,True,630,2025-08-03,2023-12-12,2024-01-11,2024-01-01
Female,Oyo,Agriculture,CAM-100028,CUS-1028,Rodney Smith,Brooks-Houston,2005-03-05,"PSC 1029, Box 3054
APO AE 03110",857.055.4003x40882,ujohnson@hudson.com,5402666,2023-04-21,38,Yearly,16.81,Flat Rate,Monthly,Monthly,Wholesale,True,False,79642269,60,26,Youth,C,False,1140,2026-06-04,2023-05-21,2023-06-20,2024-01-01
Female,Enugu,Trade and Commerce,CAM-100029,CUS-1029,Donna Gonzalez,"Maxwell, Lam and Martin",2000-05-28,"2808 Richard Fork Suite 509
Janiceshire, WY 60455",790-945-3957,zachary95@williams.biz,1376031,2023-01-14,9,Quarterly,9.53,Reducing Balance,Monthly,Quarterly,Wholesale,False,False,72770961,81,14,Adult,B,False,270,2023-10-11,2023-02-13,2023-03-15,2024-01-01
Male,Rivers,Trade and Commerce,CAM-100030,CUS-1030,Joshua Nelson,Gonzalez-Davis,1975-10-17,"7499 Janet Dam
Fischerhaven, DE 90055",+1-030-668-2083x186,alyssafrederick@gmail.com,6732739,2023-08-19,9,Monthly,12.68,Flat Rate,Monthly,Monthly,Retail,True,False,10737723,97,11,Adult,B,True,270,2024-05-15,2023-09-18,2023-10-18,2024-01-01
Male,Abuja,Health,CAM-100031,CUS-1031,Alyssa Sanchez,Duncan and Sons,2001-09-20,"32043 Smith Shores
Tracyside, RI 91236",(125)847-6761,bradshawjack@yahoo.com,1770896,2023-03-25,44,Monthly,14.0,Reducing Balance,Monthly,Quarterly,Services,False,True,64745175,74,10,Adult,A,False,1320,2026-11-04,2023-04-24,2023-05-24,2024-01-01
Female,Enugu,Health,CAM-100032,CUS-1032,Kimberly Smith,Brooks-Nguyen,1970-06-23,"Unit 4004 Box 3524
DPO AP 06777",(142)833-0312x801,karen29@wiggins.biz,1559622,2023-05-10,45,Yearly,16.59,Reducing Balance,Monthly,Monthly,Services,True,True,73405948,63,6,Youth,C,False,1350,2027-01-19,2023-06-09,2023-07-09,2024-01-01
Female,Abuja,Manufacturing,CAM-100033,CUS-1033,Victoria Navarro,"Ortiz, Moore and Porter",1997-08-03,"482 Kelly Brook Suite 710
Cohenfurt, CO 72997",(010)503-6268x7254,staffordmichael@yahoo.com,4922375,2023-08-19,22,Yearly,20.19,Reducing Balance,Quarterly,Monthly,Consulting,True,False,49628766,42,4,Youth,A,False,660,2025-06-09,2023-09-18,2023-10-18,2024-01-01
Female,Kano,Agriculture,CAM-100034,CUS-1034,Jeremy Vasquez,Park-Torres,1997-09-24,"636 Freeman Forges Suite 661
Lake Desiree, VA 73557",254.901.9408,gibsontyler@shepherd-king.com,878165,2023-11-22,42,Monthly,6.98,Flat Rate,Quarterly,Quarterly,Retail,False,False,61537422,51,21,Adult,B,True,1260,2027-05-05,2023-12-22,2024-01-21,2024-01-01
Male,Abuja,Agriculture,CAM-100035,CUS-1035,Andrea Morris,Owens Ltd,1972-05-09,"986 Johnson Viaduct Suite 134
Crystalmouth, RI 32569",(181)901-5603x4067,joshua41@hotmail.com,9597270,2023-05-25,44,Monthly,22.79,Flat Rate,Monthly,Monthly,Services,True,True,55477891,64,1,Adult,C,False,1320,2027-01-04,2023-06-24,2023-07-24,2024-01-01
Female,Lagos,ICT,CAM-100036,CUS-1036,Jorge Pena,Howard LLC,1970-04-04,"0454 Kristie Camp Suite 243
Lake Scottport, WY 93254",(220)451-4418x36655,jordanpowers@yahoo.com,4631479,2023-12-11,57,Monthly,5.25,Reducing Balance,Quarterly,Quarterly,Retail,False,True,86739239,76,7,Youth,A,True,1710,2028-08-16,2024-01-10,2024-02-09,2024-01-01
Male,Rivers,Manufacturing,CAM-100037,CUS-1037,Michael Hernandez,Rogers-Rogers,1983-06-21,"858 Burke Trail
Lake Dawn, KS 25763",+1-947-883-2170x4197,hillcrystal@miller.com,9900725,2023-01-28,34,Monthly,12.4,Reducing Balance,Monthly,Quarterly,Retail,False,True,56230536,56,24,Adult,A,False,1020,2025-11-13,2023-02-27,2023-03-29,2024-01-01
Male,Kaduna,Manufacturing,CAM-100038,CUS-1038,Evelyn Fowler,Hoffman and Sons,1994-04-12,"906 Mary Wall Apt. 055
West Yolanda, DE 67993",(263)653-1565x6778,russellmcpherson@gmail.com,9533796,2023-03-07,57,Monthly,5.55,Reducing Balance,Monthly,Monthly,Consulting,True,False,76757256,80,9,Youth,C,False,1710,2027-11-11,2023-04-06,2023-05-06,2024-01-01
Male,Abuja,Manufacturing,CAM-100039,CUS-1039,Anne Hogan,"Ruiz, Davila and Gomez",1999-09-22,"2472 Atkinson Islands Suite 893
Port Patrickbury, NE 90121",+1-170-810-4322x1643,laurajohnson@dalton-thomas.com,915008,2023-06-12,41,Monthly,12.86,Flat Rate,Monthly,Quarterly,Retail,False,True,54762777,41,8,Adult,B,True,1230,2026-10-24,2023-07-12,2023-08-11,2024-01-01
Male,Enugu,Manufacturing,CAM-100040,CUS-1040,Steven Walsh,Castro Group,1977-02-03,"8980 Frey Keys
Kimberlyfort, RI 43932",190-710-7033x5849,karen15@park-wood.biz,2131993,2023-08-17,43,Quarterly,15.52,Reducing Balance,Quarterly,Quarterly,Wholesale,True,False,70709584,32,5,Adult,C,False,1290,2027-02-27,2023-09-16,2023-10-16,2024-01-01
Male,Lagos,Agriculture,CAM-100041,CUS-1041,Chris Walsh,Ross-Strong,1990-07-11,"817 Robert Tunnel Apt. 132
Lake Daniel, NC 62258",+1-315-766-6410x054,zroy@yahoo.com,3851278,2023-09-18,44,Monthly,15.23,Reducing Balance,Monthly,Monthly,Wholesale,True,True,88491407,15,19,Adult,A,True,1320,2027-04-30,2023-10-18,2023-11-17,2024-01-01
Female,Kaduna,Agriculture,CAM-100042,CUS-1042,David Salazar,"Butler, Stone and Matthews",1992-06-16,"13803 Baker Square Suite 727
West Jill, CT 06417",4023515281,gkrause@yahoo.com,2842035,2023-06-13,55,Yearly,8.31,Reducing Balance,Monthly,Monthly,Production,True,False,89105678,62,10,Youth,A,False,1650,2027-12-19,2023-07-13,2023-08-12,2024-01-01
Female,Rivers,Manufacturing,CAM-100043,CUS-1043,Brian Turner,Williams Group,2003-02-14,"43239 Valencia Street Suite 871
Robertoside, IL 33288",+1-161-487-2289x61310,ptucker@yahoo.com,8478450,2023-10-28,42,Quarterly,17.91,Reducing Balance,Quarterly,Quarterly,Consulting,True,False,49980339,27,11,Youth,A,True,1260,2027-04-10,2023-11-27,2023-12-27,2024-01-01
Female,Kaduna,ICT,CAM-100044,CUS-1044,Bryan Marsh,"Mcguire, Morgan and Harris",1975-11-03,"682 Suzanne Prairie
Tammyborough, NC 81270",001-901-198-2653,kristen26@phillips.com,6203394,2023-10-30,57,Monthly,5.9,Flat Rate,Quarterly,Monthly,Production,True,False,85817540,28,25,Adult,A,False,1710,2028-07-05,2023-11-29,2023-12-29,2024-01-01
Female,Lagos,Trade and Commerce,CAM-100045,CUS-1045,Robert Thomas,Brewer-Morgan,1970-07-16,"577 Michael Brooks
New James, AK 88629",548.347.5852x754,ewilliams@gmail.com,7740947,2023-10-14,40,Yearly,20.24,Flat Rate,Quarterly,Quarterly,Wholesale,True,True,92274038,81,15,Youth,B,False,1200,2027-01-26,2023-11-13,2023-12-13,2024-01-01
Female,Oyo,Trade and Commerce,CAM-100046,CUS-1046,Angela Miller,Brown-Anderson,1986-11-27,"574 Mark Wells Apt. 234
North Christine, NV 15409",024-560-8497x7430,mharmon@gmail.com,3268362,2023-01-10,12,Quarterly,23.93,Reducing Balance,Monthly,Quarterly,Production,True,True,29135236,64,6,Adult,B,False,360,2024-01-05,2023-02-09,2023-03-11,2024-01-01
Male,Oyo,ICT,CAM-100047,CUS-1047,Theresa Norris,"Oneal, King and Adams",1995-08-05,"98043 Franco Overpass Suite 507
Evanston, CT 20382",164-969-2138,garciaalex@cunningham.com,1670365,2023-07-14,32,Yearly,11.8,Reducing Balance,Monthly,Monthly,Consulting,True,True,10979219,59,15,Adult,A,True,960,2026-02-28,2023-08-13,2023-09-12,2024-01-01
Female,Kaduna,Manufacturing,CAM-100048,CUS-1048,David Sutton,Deleon-Byrd,1988-08-23,"2658 Michael Branch
Margaretmouth, MN 10465",001-474-918-0535x66398,meredithboyd@matthews-reynolds.biz,9568026,2023-04-28,33,Monthly,15.34,Flat Rate,Quarterly,Monthly,Consulting,False,False,31107857,58,5,Youth,B,True,990,2026-01-12,2023-05-28,2023-06-27,2024-01-01
Female,Kano,Agriculture,CAM-100049,CUS-1049,William Pena,Ramirez Inc,1979-03-02,"569 Kimberly Burgs
West James, PA 56632",007.205.7458,zphillips@cochran.org,6431161,2023-09-27,27,Monthly,12.58,Flat Rate,Monthly,Monthly,Retail,False,False,48875246,2,29,Youth,B,True,810,2025-12-15,2023-10-27,2023-11-26,2024-01-01
Male,Enugu,Trade and Commerce,CAM-100050,CUS-1050,Pamela Knight,Hunter-Cox,1992-02-24,"670 Austin Walk Suite 092
New Angela, NH 58957",148.958.9564x2397,todd55@petersen.com,7290593,2023-03-21,19,Monthly,5.13,Reducing Balance,Quarterly,Monthly,Services,True,True,99996545,36,19,Youth,B,False,570,2024-10-11,2023-04-20,2023-05-20,2024-01-01
Female,Enugu,Health,CAM-100051,CUS-1051,Jonathan Hoffman,"Scott, Martinez and Elliott",1977-12-27,"772 Marcus Estates Suite 174
Jasminefort, IN 14490",+1-775-679-8414x45592,thomas75@yahoo.com,5351188,2023-04-03,12,Monthly,12.72,Flat Rate,Quarterly,Quarterly,Retail,False,False,17371868,71,22,Youth,A,True,360,2024-03-28,2023-05-03,2023-06-02,2024-01-01
Male,Kaduna,Health,CAM-100052,CUS-1052,Emily Barnes,"Campbell, Stone and Williams",1987-11-11,"875 Garcia Plains
Lake Suzanne, AZ 57592",001-871-213-1171x61550,franciscathy@marshall-hampton.biz,3221864,2023-09-23,42,Quarterly,20.83,Flat Rate,Monthly,Quarterly,Consulting,False,False,83369859,13,19,Adult,C,True,1260,2027-03-06,2023-10-23,2023-11-22,2024-01-01
Female,Abuja,ICT,CAM-100053,CUS-1053,Paul Bailey,Howard PLC,1976-09-26,"73527 Anthony Rapid Suite 265
Mariastad, DC 04017",152.578.1863,kingalexis@atkinson-spence.org,4447208,2023-11-28,27,Quarterly,16.92,Reducing Balance,Monthly,Monthly,Wholesale,False,False,75735788,15,10,Youth,C,True,810,2026-02-15,2023-12-28,2024-01-27,2024-01-01
Male,Abuja,Manufacturing,CAM-100054,CUS-1054,Brittany Manning,Clark and Sons,1998-06-28,"4036 Joshua Spurs Suite 562
South Candice, CA 48874",(376)004-8263x13537,morgancathy@haynes-conrad.com,7484720,2023-12-16,10,Yearly,7.03,Flat Rate,Quarterly,Monthly,Wholesale,False,True,8045001,89,12,Youth,C,True,300,2024-10-11,2024-01-15,2024-02-14,2024-01-01
Female,Enugu,Trade and Commerce,CAM-100055,CUS-1055,Maria Coleman,"Mitchell, Hall and Ross",2002-02-28,"81230 Joseph Springs Apt. 298
Kiarachester, NE 82792",057-071-5806,samantha27@yahoo.com,8233308,2023-12-27,7,Monthly,21.94,Flat Rate,Quarterly,Quarterly,Retail,False,False,91763004,87,22,Adult,A,True,210,2024-07-24,2024-01-26,2024-02-25,2024-01-01
Female,Enugu,Manufacturing,CAM-100056,CUS-1056,Marcus Warren,Schmidt-Henry,1994-12-28,"83422 Monique Road
North Michael, ME 81618",970.264.7160x029,bgarrett@stewart.org,4375754,2023-09-14,32,Yearly,15.62,Reducing Balance,Quarterly,Quarterly,Consulting,False,True,27646174,60,4,Adult,B,True,960,2026-05-01,2023-10-14,2023-11-13,2024-01-01
Male,Oyo,Trade and Commerce,CAM-100057,CUS-1057,Crystal Parker,"Tyler, Larson and Taylor",1992-12-23,"PSC 2096, Box 1445
APO AP 12760",(572)477-5219x104,abrewer@yahoo.com,3204999,2023-05-13,26,Quarterly,21.83,Reducing Balance,Quarterly,Quarterly,Wholesale,True,True,36050664,22,18,Adult,B,True,780,2025-07-01,2023-06-12,2023-07-12,2024-01-01
Male,Kano,ICT,CAM-100058,CUS-1058,Ryan Kane,"Chavez, Hampton and Holloway",1983-08-12,"PSC 8882, Box 3973
APO AP 97229",(468)598-8569,gregoryphillips@gmail.com,5798217,2023-10-03,59,Monthly,16.6,Flat Rate,Monthly,Quarterly,Consulting,False,True,22411399,63,16,Adult,A,True,1770,2028-08-07,2023-11-02,2023-12-02,2024-01-01
Male,Lagos,ICT,CAM-100059,CUS-1059,James Adams,"Hurley, Lopez and Payne",1982-02-19,"USS Harrison
FPO AE 86352",001-552-888-3851x3341,cindymatthews@holmes-carlson.net,1824070,2023-09-21,43,Monthly,16.19,Reducing Balance,Quarterly,Monthly,Wholesale,False,True,59933890,90,8,Youth,A,True,1290,2027-04-03,2023-10-21,2023-11-20,2024-01-01
Male,Abuja,Health,CAM-100060,CUS-1060,Mary Fleming,Spears-Daniels,1976-11-15,"PSC 8137, Box 0296
APO AP 95923",+1-493-669-1316,jcochran@gmail.com,7864386,2023-06-20,20,Quarterly,7.11,Flat Rate,Quarterly,Quarterly,Consulting,False,True,79184495,97,4,Youth,C,True,600,2025-02-09,2023-07-20,2023-08-19,2024-01-01
Male,Enugu,Manufacturing,CAM-100061,CUS-1061,Hailey Harmon,Jones-Wagner,1992-04-29,"778 John Ford Apt. 728
Coleland, VT 51676",464.268.1688,jamielarsen@frank-smith.info,6287749,2023-01-01,26,Quarterly,8.35,Reducing Balance,Quarterly,Quarterly,Production,False,False,33109310,75,25,Adult,C,False,780,2025-02-19,2023-01-31,2023-03-02,2024-01-01
Male,Oyo,Health,CAM-100062,CUS-1062,Mark Harper,Kennedy-Smith,2004-01-06,"2772 Russell Square Apt. 815
New Anneview, AK 35245",+1-764-258-8101,robinsonrodney@yahoo.com,2161793,2023-11-09,15,Quarterly,24.44,Flat Rate,Monthly,Monthly,Consulting,True,True,54960621,74,23,Adult,A,False,450,2025-02-01,2023-12-09,2024-01-08,2024-01-01
Male,Rivers,Manufacturing,CAM-100063,CUS-1063,Jose Jones,"Wolf, Boyer and Salazar",1971-06-12,"5363 Philip Ranch Suite 545
Smallburgh, WA 55846",+1-092-092-1902x264,iwright@gmail.com,7076651,2023-03-05,28,Quarterly,9.57,Reducing Balance,Monthly,Quarterly,Consulting,True,True,98145928,25,12,Youth,C,True,840,2025-06-22,2023-04-04,2023-05-04,2024-01-01
Male,Oyo,Health,CAM-100064,CUS-1064,Todd Wilson,Foster-Herrera,1999-07-09,"97773 Orr Glens Suite 997
Marcville, WY 22177",001-153-179-0016x8678,ogreen@kennedy.com,7367218,2023-10-11,44,Quarterly,24.55,Flat Rate,Quarterly,Quarterly,Retail,True,True,56244317,48,2,Youth,B,False,1320,2027-05-23,2023-11-10,2023-12-10,2024-01-01
Female,Abuja,Agriculture,CAM-100065,CUS-1065,Miranda Malone,Gonzales Ltd,1999-11-29,"99694 Allison Road Suite 943
West Misty, TX 94431",2027961137,porterdaniel@yahoo.com,9504644,2023-05-01,10,Monthly,15.64,Flat Rate,Monthly,Monthly,Production,True,False,28592372,43,4,Youth,A,False,300,2024-02-25,2023-05-31,2023-06-30,2024-01-01
Female,Abuja,Agriculture,CAM-100066,CUS-1066,Michael Conrad,Hayes-Brown,1996-12-31,"679 Charles Points Suite 865
East Stephen, WY 20702",034.082.1979,rtate@jones.com,7966027,2023-04-17,6,Quarterly,7.72,Flat Rate,Monthly,Monthly,Services,False,False,5991818,38,5,Youth,A,True,180,2023-10-14,2023-05-17,2023-06-16,2024-01-01
Male,Oyo,Agriculture,CAM-100067,CUS-1067,Sherry Henderson,Barnett-Doyle,1993-05-09,"PSC 2637, Box 2533
APO AE 04401",001-740-558-5096,ronaldnelson@yahoo.com,5487696,2023-06-24,18,Monthly,6.99,Reducing Balance,Monthly,Monthly,Retail,True,False,10164962,41,3,Youth,B,True,540,2024-12-15,2023-07-24,2023-08-23,2024-01-01
